// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B44081
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
12143	6.593479	-0.656308	7.105546	0.001646	-0.021028	-0.097079	-0.017171	-0.024820	0.001277	-0.317871	-0.202393	-0.880127	0.885162	0.078662	-0.358477	0.285998	NaN	NaN	NaN	NaN	NaN	NaN
12144	6.618141	-0.636076	7.089558	0.011176	0.012239	-0.093329	-0.018823	-0.020358	-0.007037	-0.320068	-0.200195	-0.882324	0.885146	0.078589	-0.358601	0.285911	NaN	NaN	NaN	NaN	NaN	NaN
12145	6.701202	-0.660944	7.141944	0.040084	0.011150	0.003044	-0.021997	-0.018270	-0.009006	-0.322754	-0.193359	-0.880371	0.885142	0.078502	-0.358711	0.285809	NaN	NaN	NaN	NaN	NaN	NaN
12146	6.719728	-0.684134	7.093606	0.089796	0.017114	-0.018114	-0.023183	-0.020419	-0.007186	-0.324951	-0.195557	-0.884521	0.885128	0.078411	-0.358841	0.285714	NaN	NaN	NaN	NaN	NaN	NaN
12147	6.719782	-0.739862	7.092036	0.119479	-0.027896	-0.015505	-0.019410	-0.016969	-0.003497	-0.322510	-0.200195	-0.880127	0.885117	0.078314	-0.358953	0.285636	NaN	NaN	NaN	NaN	NaN	NaN
12148	6.721207	-0.696941	7.032295	0.129399	0.028983	-0.060973	-0.006639	-0.012551	0.004113	-0.327148	-0.195557	-0.878174	0.885094	0.078264	-0.359030	0.285624	NaN	NaN	NaN	NaN	NaN	NaN
12149	6.695286	-0.697092	7.072318	0.089193	0.003771	-0.049363	-0.007765	-0.010856	0.000411	-0.329346	-0.197998	-0.875977	0.885081	0.078212	-0.359098	0.285594	NaN	NaN	NaN	NaN	NaN	NaN
12150	6.669353	-0.697228	7.112371	0.048986	-0.021479	-0.037753	-0.004321	-0.012098	0.005998	-0.324951	-0.195557	-0.884521	0.885055	0.078168	-0.359170	0.285594	NaN	NaN	NaN	NaN	NaN	NaN
12151	6.666260	-0.676015	7.138221	0.018558	-0.013797	-0.022402	-0.005287	-0.005826	0.002659	-0.324951	-0.191162	-0.878174	0.885046	0.078114	-0.359217	0.285580	NaN	NaN	NaN	NaN	NaN	NaN
12152	6.698246	-0.688283	7.129061	0.047989	-0.005997	-0.006495	-0.008358	-0.011930	0.001321	-0.320313	-0.195557	-0.880371	0.885029	0.078061	-0.359292	0.285552	NaN	NaN	NaN	NaN	NaN	NaN
12153	6.712387	-0.689529	7.107792	0.067641	0.007331	-0.012297	-0.014345	-0.010638	0.004260	-0.326904	-0.200195	-0.875977	0.885016	0.077965	-0.359370	0.285521	NaN	NaN	NaN	NaN	NaN	NaN
12154	6.724940	-0.746007	7.086501	0.117290	-0.025014	-0.015471	-0.018448	-0.005392	0.010355	-0.324951	-0.195557	-0.880371	0.885001	0.077841	-0.359434	0.285517	NaN	NaN	NaN	NaN	NaN	NaN
12155	6.684306	-0.757917	7.088397	0.097355	-0.052101	-0.040914	-0.017583	-0.007934	0.010440	-0.327148	-0.193359	-0.880371	0.884982	0.077725	-0.359508	0.285517	NaN	NaN	NaN	NaN	NaN	NaN
12156	6.694507	-0.737472	7.093832	0.086943	-0.031648	-0.031369	-0.004258	-0.008253	0.000479	-0.327148	-0.195557	-0.878174	0.884971	0.077686	-0.359561	0.285494	NaN	NaN	NaN	NaN	NaN	NaN
12157	6.719404	-0.661377	7.079167	0.066434	0.047216	-0.030266	0.005396	-0.006827	-0.004658	-0.322510	-0.197998	-0.880127	0.884966	0.077692	-0.359595	0.285466	NaN	NaN	NaN	NaN	NaN	NaN
12158	6.729784	-0.639013	7.084620	0.056029	0.067672	-0.020729	-0.000956	-0.011571	-0.013845	-0.327148	-0.195557	-0.878174	0.884969	0.077699	-0.359652	0.285384	NaN	NaN	NaN	NaN	NaN	NaN
12159	6.725332	-0.672066	7.110351	0.055670	0.029828	-0.002750	-0.016928	-0.003014	0.004015	-0.324707	-0.197998	-0.880127	0.884968	0.077588	-0.359699	0.285356	NaN	NaN	NaN	NaN	NaN	NaN
12160	6.722698	-0.782849	7.109723	0.115327	-0.060882	0.002539	-0.028779	0.002801	-0.003766	-0.326904	-0.200195	-0.875977	0.884993	0.077433	-0.359736	0.285275	NaN	NaN	NaN	NaN	NaN	NaN
12161	6.720641	-0.849575	7.050229	0.185295	-0.095142	-0.037661	-0.023704	-0.008716	-0.006525	-0.327148	-0.195557	-0.878174	0.884998	0.077324	-0.359814	0.285191	NaN	NaN	NaN	NaN	NaN	NaN
12162	6.757141	-0.873288	7.073446	0.204528	-0.105553	0.005777	-0.014219	-0.002944	-0.006772	-0.318115	-0.193359	-0.874023	0.885011	0.077247	-0.359855	0.285120	NaN	NaN	NaN	NaN	NaN	NaN
12163	6.752690	-0.818348	6.982606	0.224741	-0.030456	-0.067234	-0.004578	0.007405	-0.006655	-0.326904	-0.200195	-0.880127	0.885040	0.077193	-0.359834	0.285070	NaN	NaN	NaN	NaN	NaN	NaN
12164	6.745084	-0.774364	7.035914	0.164307	-0.015519	-0.036561	-0.002953	0.001595	-0.012374	-0.327148	-0.195801	-0.871826	0.885065	0.077170	-0.359836	0.284997	NaN	NaN	NaN	NaN	NaN	NaN
12165	6.723218	-0.740634	7.050759	0.124158	-0.002498	-0.042939	-0.005272	0.005602	-0.011628	-0.329346	-0.193359	-0.880371	0.885094	0.077132	-0.359825	0.284930	NaN	NaN	NaN	NaN	NaN	NaN
12166	6.741112	-0.751874	7.062780	0.133623	-0.007511	-0.021219	-0.012272	0.000397	-0.011760	-0.327148	-0.195557	-0.880371	0.885120	0.077068	-0.359846	0.284842	NaN	NaN	NaN	NaN	NaN	NaN
12167	6.794068	-0.796755	7.039697	0.202810	-0.012371	0.001090	-0.009798	0.005425	-0.009511	-0.327148	-0.195557	-0.880371	0.885149	0.077000	-0.359845	0.284771	NaN	NaN	NaN	NaN	NaN	NaN
12168	6.784205	-0.817894	7.033870	0.212606	-0.032078	-0.008429	0.000122	0.003240	-0.013660	-0.324951	-0.191162	-0.882568	0.885177	0.076990	-0.359835	0.284698	NaN	NaN	NaN	NaN	NaN	NaN
12169	6.793681	-0.795271	7.040238	0.202171	-0.011542	0.001104	0.008951	0.004091	-0.007483	-0.325195	-0.186768	-0.882568	0.885196	0.077000	-0.359812	0.284666	NaN	NaN	NaN	NaN	NaN	NaN
12170	6.744091	-0.771027	7.037233	0.162374	-0.013175	-0.036525	0.012722	0.003077	-0.006426	-0.324951	-0.193359	-0.882568	0.885209	0.077033	-0.359788	0.284648	NaN	NaN	NaN	NaN	NaN	NaN
12171	6.766638	-0.748219	7.023458	0.171889	0.020219	-0.032798	0.012776	0.011386	-0.009313	-0.324951	-0.193359	-0.878174	0.885244	0.077047	-0.359727	0.284612	NaN	NaN	NaN	NaN	NaN	NaN
12172	6.774251	-0.779477	7.030199	0.191444	-0.004880	-0.020595	0.017736	0.012525	-0.010071	-0.324707	-0.200195	-0.880127	0.885277	0.077095	-0.359652	0.284591	NaN	NaN	NaN	NaN	NaN	NaN
12173	6.729483	-0.755304	7.119146	0.101182	-0.035539	0.012136	0.011646	0.017544	-0.010383	-0.324951	-0.195557	-0.882324	0.885322	0.077110	-0.359563	0.284560	NaN	NaN	NaN	NaN	NaN	NaN
12174	6.701989	-0.752669	7.160978	0.060930	-0.060726	0.023744	0.027937	0.006726	-0.013221	-0.324951	-0.195557	-0.878174	0.885345	0.077217	-0.359498	0.284541	NaN	NaN	NaN	NaN	NaN	NaN
12175	6.693562	-0.715293	7.155626	0.040772	-0.034817	0.011544	0.039275	0.000394	-0.046231	-0.320068	-0.200195	-0.880127	0.885400	0.077440	-0.359432	0.284393	NaN	NaN	NaN	NaN	NaN	NaN
12176	6.679705	-0.720364	7.117360	0.060780	-0.036352	-0.025492	0.020541	-0.002745	-0.050887	-0.326904	-0.200195	-0.882324	0.885462	0.077595	-0.359405	0.284189	NaN	NaN	NaN	NaN	NaN	NaN
12177	6.642922	-0.792191	7.151692	0.060651	-0.127189	-0.020710	0.025609	-0.010949	-0.017456	-0.320068	-0.200195	-0.880127	0.885461	0.077727	-0.359416	0.284143	NaN	NaN	NaN	NaN	NaN	NaN
12178	6.581548	-0.810001	7.226182	-0.009472	-0.198017	-0.007012	0.035484	-0.032855	-0.004412	-0.320313	-0.195557	-0.875977	0.885398	0.077908	-0.359519	0.284160	NaN	NaN	NaN	NaN	NaN	NaN
12179	6.440732	-0.748967	7.246245	-0.138345	-0.221753	-0.092413	0.038073	-0.041826	-0.018170	-0.329346	-0.197998	-0.882324	0.885340	0.078136	-0.359647	0.284117	NaN	NaN	NaN	NaN	NaN	NaN
12180	6.448706	-0.711504	7.217660	-0.138519	-0.183105	-0.110422	0.039477	-0.037070	-0.041774	-0.324951	-0.193359	-0.882568	0.885320	0.078408	-0.359748	0.283975	NaN	NaN	NaN	NaN	NaN	NaN
12181	6.552069	-0.653491	7.163462	-0.079476	-0.076631	-0.083368	0.040310	-0.043451	-0.036158	-0.320068	-0.204590	-0.882080	0.885281	0.078676	-0.359881	0.283854	NaN	NaN	NaN	NaN	NaN	NaN
12182	6.755467	-0.588083	7.115714	0.028666	0.079344	0.016272	0.036804	-0.042720	-0.000046	-0.324707	-0.200195	-0.875977	0.885193	0.078869	-0.360028	0.283889	NaN	NaN	NaN	NaN	NaN	NaN
12183	6.874940	-0.599513	7.073416	0.127606	0.134781	0.067747	0.025526	-0.025573	0.010512	-0.324707	-0.200195	-0.884521	0.885127	0.078971	-0.360111	0.283960	NaN	NaN	NaN	NaN	NaN	NaN
12184	6.819643	-0.673689	7.036541	0.157907	0.060157	0.007992	0.007051	-0.008176	-0.007727	-0.322266	-0.206787	-0.877930	0.885124	0.078997	-0.360144	0.283922	NaN	NaN	NaN	NaN	NaN	NaN
12185	6.705763	-0.735069	7.049831	0.118667	-0.047392	-0.056081	0.005516	-0.004972	-0.032312	-0.324463	-0.204590	-0.880127	0.885164	0.079059	-0.360148	0.283775	NaN	NaN	NaN	NaN	NaN	NaN
12186	6.701535	-0.720310	7.017338	0.128602	-0.028859	-0.083604	0.026909	-0.002486	-0.044316	-0.324707	-0.197998	-0.878174	0.885215	0.079231	-0.360113	0.283612	NaN	NaN	NaN	NaN	NaN	NaN
12187	6.807518	-0.662806	7.056867	0.137274	0.048565	0.013796	0.032604	0.008776	-0.043013	-0.324707	-0.197998	-0.878174	0.885283	0.079410	-0.360017	0.283472	NaN	NaN	NaN	NaN	NaN	NaN
12188	6.880179	-0.561455	6.988141	0.166835	0.185805	0.006877	0.018844	0.020883	-0.034701	-0.322510	-0.200195	-0.882324	0.885365	0.079495	-0.359894	0.283346	NaN	NaN	NaN	NaN	NaN	NaN
12189	6.942121	-0.439549	6.855673	0.216954	0.359418	-0.055113	0.008557	0.040064	-0.023720	-0.322510	-0.195557	-0.880371	0.885474	0.079483	-0.359701	0.283256	NaN	NaN	NaN	NaN	NaN	NaN
12190	6.850121	-0.404143	6.976030	0.076931	0.308689	-0.032541	-0.016591	0.064105	-0.013366	-0.320068	-0.204590	-0.877930	0.885618	0.079312	-0.359445	0.283178	NaN	NaN	NaN	NaN	NaN	NaN
12191	6.675554	-0.434502	7.160437	-0.112701	0.146682	-0.015266	-0.029704	0.051119	-0.013520	-0.324951	-0.193359	-0.882568	0.885747	0.079099	-0.359260	0.283069	NaN	NaN	NaN	NaN	NaN	NaN
12192	6.584652	-0.543437	7.194633	-0.122556	0.008263	-0.045363	-0.032189	0.037778	-0.012847	-0.324707	-0.197998	-0.884521	0.885849	0.078895	-0.359143	0.282956	NaN	NaN	NaN	NaN	NaN	NaN
12193	6.539949	-0.653687	7.258058	-0.123063	-0.120692	-0.022491	-0.021609	0.034948	0.007517	-0.320313	-0.200195	-0.886475	0.885915	0.078696	-0.359033	0.282944	NaN	NaN	NaN	NaN	NaN	NaN
12194	6.594845	-0.722136	7.210489	-0.023760	-0.132995	-0.015425	-0.000108	0.023683	0.027095	-0.326904	-0.200195	-0.875977	0.885922	0.078583	-0.358949	0.283059	NaN	NaN	NaN	NaN	NaN	NaN
12195	6.617038	-0.692035	7.256119	-0.054437	-0.110499	0.031102	0.008703	0.013160	0.047568	-0.320313	-0.195557	-0.884521	0.885879	0.078486	-0.358905	0.283278	NaN	NaN	NaN	NaN	NaN	NaN
12196	6.615681	-0.695346	7.257039	-0.054743	-0.110106	0.031105	0.013371	0.012344	0.076746	-0.322510	-0.200195	-0.877930	0.885790	0.078359	-0.358871	0.283633	NaN	NaN	NaN	NaN	NaN	NaN
12197	6.480593	-0.806663	7.259201	-0.073993	-0.257804	-0.051906	0.014900	0.009144	0.101351	-0.318115	-0.197998	-0.878174	0.885662	0.078195	-0.358856	0.284095	NaN	NaN	NaN	NaN	NaN	NaN
12198	6.424020	-0.876374	7.282359	-0.084066	-0.343255	-0.068770	0.021001	-0.004169	0.104609	-0.320313	-0.200195	-0.884521	0.885501	0.078075	-0.358895	0.284581	NaN	NaN	NaN	NaN	NaN	NaN
12199	6.437362	-0.837130	7.202981	-0.053813	-0.273664	-0.120136	0.036470	-0.009344	0.090350	-0.322510	-0.200195	-0.882324	0.885349	0.078054	-0.358923	0.285026	NaN	NaN	NaN	NaN	NaN	NaN
12200	6.512562	-0.731790	7.191571	-0.064503	-0.147211	-0.084284	0.051068	-0.016454	0.073377	-0.322510	-0.197998	-0.878174	0.885198	0.078141	-0.358961	0.285422	NaN	NaN	NaN	NaN	NaN	NaN
12201	6.584955	-0.603477	7.205882	-0.105183	-0.013348	-0.033152	0.045876	-0.027373	0.065298	-0.322510	-0.200195	-0.880127	0.885042	0.078234	-0.359049	0.285769	NaN	NaN	NaN	NaN	NaN	NaN
12202	6.588336	-0.550369	7.203859	-0.135363	0.032650	-0.035915	0.021014	-0.038883	0.052444	-0.324707	-0.197998	-0.886719	0.884892	0.078258	-0.359221	0.286010	NaN	NaN	NaN	NaN	NaN	NaN
12203	6.583870	-0.650749	7.168708	-0.065573	-0.039983	-0.057929	0.002833	-0.049873	0.041631	-0.322510	-0.197998	-0.886719	0.884748	0.078233	-0.359460	0.286164	NaN	NaN	NaN	NaN	NaN	NaN
12204	6.553248	-0.750166	7.173914	-0.035860	-0.138184	-0.068332	0.005554	-0.054299	0.028236	-0.324707	-0.200195	-0.880127	0.884611	0.078254	-0.359713	0.286264	NaN	NaN	NaN	NaN	NaN	NaN
12205	6.582239	-0.805918	7.129599	0.033802	-0.157846	-0.077160	0.025179	-0.055098	0.018978	-0.324707	-0.200195	-0.890869	0.884481	0.078376	-0.359933	0.286355	NaN	NaN	NaN	NaN	NaN	NaN
12206	6.636920	-0.772927	7.129459	0.043086	-0.109860	-0.042253	0.051459	-0.059217	0.017288	-0.324707	-0.197998	-0.882324	0.884332	0.078626	-0.360138	0.286487	NaN	NaN	NaN	NaN	NaN	NaN
12207	6.688512	-0.672802	7.096714	0.032897	0.001960	-0.037662	0.058559	-0.059124	0.006663	-0.326904	-0.204590	-0.875732	0.884201	0.078922	-0.360322	0.286580	NaN	NaN	NaN	NaN	NaN	NaN
12208	6.762893	-0.550764	7.049477	0.032537	0.146541	-0.029403	0.054140	-0.051631	-0.002279	-0.328857	-0.206787	-0.877930	0.884093	0.079208	-0.360481	0.286633	NaN	NaN	NaN	NaN	NaN	NaN
12209	6.795637	-0.482145	7.063966	0.002147	0.207218	-0.000969	0.034835	-0.048170	-0.017083	-0.331543	-0.197998	-0.878174	0.884019	0.079440	-0.360643	0.286596	NaN	NaN	NaN	NaN	NaN	NaN
12210	6.831612	-0.436292	7.052277	0.001726	0.260586	0.012178	0.004428	-0.040817	-0.031462	-0.326904	-0.200195	-0.882324	0.883991	0.079544	-0.360815	0.286434	NaN	NaN	NaN	NaN	NaN	NaN
12211	6.890004	-0.414583	7.085110	0.000766	0.290530	0.074598	-0.040623	-0.036002	-0.039922	-0.331543	-0.197998	-0.878174	0.884004	0.079454	-0.361025	0.286155	NaN	NaN	NaN	NaN	NaN	NaN
12212	6.825933	-0.513067	7.041275	0.041072	0.195672	0.005468	-0.069880	-0.032133	-0.022861	-0.329346	-0.197998	-0.882324	0.884010	0.079201	-0.361268	0.285901	NaN	NaN	NaN	NaN	NaN	NaN
12213	6.742757	-0.689869	7.103876	0.050633	-0.006442	0.005823	-0.078665	-0.013737	-0.004558	-0.327148	-0.193359	-0.882568	0.884027	0.078846	-0.361449	0.285718	NaN	NaN	NaN	NaN	NaN	NaN
12214	6.672247	-0.780381	7.028791	0.101204	-0.083210	-0.090825	-0.048680	-0.013116	0.013668	-0.327148	-0.195557	-0.878174	0.884006	0.078594	-0.361592	0.285671	NaN	NaN	NaN	NaN	NaN	NaN
12215	6.663155	-0.849047	7.080655	0.100483	-0.159172	-0.054678	-0.017333	-0.010882	0.019646	-0.331787	-0.193359	-0.878174	0.883972	0.078458	-0.361680	0.285702	NaN	NaN	NaN	NaN	NaN	NaN
12216	6.739859	-0.830648	6.983136	0.190154	-0.075013	-0.074203	0.015038	-0.015551	0.020833	-0.324951	-0.195557	-0.886719	0.883911	0.078478	-0.361746	0.285801	NaN	NaN	NaN	NaN	NaN	NaN
12217	6.853888	-0.778974	6.909597	0.269464	0.044138	-0.053048	0.040235	-0.007665	0.034627	-0.329590	-0.191162	-0.878174	0.883839	0.078565	-0.361743	0.286003	NaN	NaN	NaN	NaN	NaN	NaN
12218	6.837204	-0.658982	7.100732	0.078462	0.070821	0.066120	0.034898	0.010131	0.066672	-0.329346	-0.195557	-0.882324	0.883751	0.078553	-0.361685	0.286351	NaN	NaN	NaN	NaN	NaN	NaN
12219	6.660597	-0.689662	7.191271	-0.060918	-0.062042	0.013095	0.018802	-0.008161	0.071146	-0.327148	-0.195557	-0.875977	0.883633	0.078479	-0.361732	0.286676	NaN	NaN	NaN	NaN	NaN	NaN
12220	6.544756	-0.635421	7.171851	-0.149835	-0.060256	-0.084021	0.001019	-0.027108	0.056525	-0.327148	-0.193359	-0.882568	0.883506	0.078390	-0.361882	0.286903	NaN	NaN	NaN	NaN	NaN	NaN
12221	6.559192	-0.639504	7.149914	-0.130072	-0.047025	-0.089822	-0.009984	-0.015542	0.045894	-0.329346	-0.195557	-0.880371	0.883423	0.078246	-0.361990	0.287062	NaN	NaN	NaN	NaN	NaN	NaN
12222	6.602106	-0.622643	7.205102	-0.151067	-0.029830	-0.021607	-0.018102	-0.006279	0.041767	-0.324951	-0.193359	-0.882568	0.883362	0.078069	-0.362070	0.287197	NaN	NaN	NaN	NaN	NaN	NaN
12223	6.747351	-0.587304	7.122637	-0.041931	0.096680	0.015462	-0.021022	-0.012270	0.038197	-0.329346	-0.193359	-0.882568	0.883301	0.077886	-0.362174	0.287303	NaN	NaN	NaN	NaN	NaN	NaN
12224	6.790440	-0.527101	7.119034	-0.052374	0.170193	0.038041	-0.036263	-0.005106	0.022543	-0.326904	-0.197998	-0.880127	0.883277	0.077661	-0.362268	0.287321	NaN	NaN	NaN	NaN	NaN	NaN
12225	6.708355	-0.550650	7.124240	-0.091922	0.115696	-0.012779	-0.055573	0.002230	0.002217	-0.333984	-0.191162	-0.882568	0.883306	0.077373	-0.362343	0.287212	NaN	NaN	NaN	NaN	NaN	NaN
12226	6.619679	-0.617298	7.097302	-0.091455	0.033549	-0.088315	-0.070637	0.004414	-0.026459	-0.327148	-0.195557	-0.878174	0.883383	0.077072	-0.362425	0.286955	NaN	NaN	NaN	NaN	NaN	NaN
12227	6.632876	-0.664523	7.135120	-0.082281	-0.009577	-0.048482	-0.072521	-0.004005	-0.032201	-0.327393	-0.188965	-0.884766	0.883455	0.076780	-0.362543	0.286663	NaN	NaN	NaN	NaN	NaN	NaN
12228	6.740255	-0.703576	7.087855	0.026623	0.025563	-0.006445	-0.071490	-0.001344	-0.023594	-0.333984	-0.191162	-0.878174	0.883516	0.076478	-0.362652	0.286415	NaN	NaN	NaN	NaN	NaN	NaN
12229	6.771771	-0.718393	7.078607	0.056037	0.033402	0.009502	-0.058356	-0.001187	-0.023165	-0.331543	-0.200195	-0.875977	0.883576	0.076225	-0.362741	0.286186	NaN	NaN	NaN	NaN	NaN	NaN
12230	6.768313	-0.742708	7.163396	0.015088	-0.015081	0.070402	-0.062370	0.002827	-0.033359	-0.329346	-0.193359	-0.886719	0.883655	0.075975	-0.362815	0.285913	NaN	NaN	NaN	NaN	NaN	NaN
12231	6.720084	-0.808294	7.074172	0.075705	-0.059123	-0.022511	-0.053192	-0.009492	-0.039579	-0.327148	-0.191162	-0.878174	0.883719	0.075797	-0.362924	0.285627	NaN	NaN	NaN	NaN	NaN	NaN
12232	6.657048	-0.840022	7.090415	0.045742	-0.119083	-0.051559	-0.032388	-0.010639	-0.031175	-0.331787	-0.186768	-0.876221	0.883759	0.075695	-0.363015	0.285412	NaN	NaN	NaN	NaN	NaN	NaN
12233	6.626531	-0.828244	7.098442	0.015701	-0.125968	-0.067501	-0.012614	-0.004896	-0.017978	-0.334229	-0.186768	-0.882568	0.883785	0.075643	-0.363057	0.285291	NaN	NaN	NaN	NaN	NaN	NaN
12234	6.640823	-0.730006	7.222087	-0.105223	-0.081047	0.024708	-0.005150	0.000642	-0.024671	-0.327148	-0.193359	-0.882568	0.883827	0.075633	-0.363062	0.285159	NaN	NaN	NaN	NaN	NaN	NaN
12235	6.661033	-0.641299	7.175059	-0.115003	0.016002	-0.002049	-0.008464	-0.011377	-0.040378	-0.327148	-0.193359	-0.875977	0.883872	0.075649	-0.363118	0.284943	NaN	NaN	NaN	NaN	NaN	NaN
12236	6.662185	-0.596397	7.115519	-0.104701	0.072671	-0.047711	-0.033228	-0.012566	-0.033865	-0.327148	-0.191162	-0.876221	0.883913	0.075551	-0.363218	0.284715	NaN	NaN	NaN	NaN	NaN	NaN
12237	6.632178	-0.716358	7.096608	-0.044986	-0.033010	-0.073197	-0.044275	0.000251	-0.028139	-0.333984	-0.193359	-0.882568	0.883975	0.075375	-0.363274	0.284496	NaN	NaN	NaN	NaN	NaN	NaN
12238	6.651027	-0.860021	7.081094	0.054053	-0.136760	-0.060966	-0.046864	0.003418	-0.031004	-0.324951	-0.188965	-0.882568	0.884046	0.075188	-0.363324	0.284261	NaN	NaN	NaN	NaN	NaN	NaN
12239	6.755048	-0.874312	7.060349	0.132960	-0.094158	-0.003657	-0.029298	-0.008391	-0.024301	-0.324951	-0.191162	-0.878174	0.884082	0.075081	-0.363399	0.284081	NaN	NaN	NaN	NaN	NaN	NaN
12240	6.796744	-0.864472	7.056959	0.152342	-0.066293	0.021747	-0.014906	-0.005341	-0.019840	-0.329590	-0.188965	-0.878418	0.884109	0.075028	-0.363447	0.283950	NaN	NaN	NaN	NaN	NaN	NaN
12241	6.717754	-0.774327	7.062820	0.053191	-0.029498	-0.034778	-0.014533	0.002594	-0.035413	-0.327148	-0.191162	-0.880371	0.884176	0.074991	-0.363448	0.283753	NaN	NaN	NaN	NaN	NaN	NaN
12242	6.664775	-0.771880	7.145205	-0.027234	-0.079898	-0.011572	-0.020992	0.009904	-0.050725	-0.331787	-0.191162	-0.882568	0.884276	0.074945	-0.363425	0.283480	NaN	NaN	NaN	NaN	NaN	NaN
12243	6.579284	-0.768271	7.177371	-0.096921	-0.126984	-0.047118	-0.022019	-0.000438	-0.048261	-0.331787	-0.188965	-0.882568	0.884357	0.074904	-0.363446	0.283212	NaN	NaN	NaN	NaN	NaN	NaN
12244	6.611250	-0.778129	7.168189	-0.067499	-0.119264	-0.031161	-0.022856	-0.006811	-0.053583	-0.329590	-0.186768	-0.882568	0.884432	0.074879	-0.363498	0.282917	NaN	NaN	NaN	NaN	NaN	NaN
12245	6.623778	-0.831073	7.146991	-0.018010	-0.151773	-0.034076	-0.030370	0.003527	-0.058554	-0.331787	-0.186768	-0.876221	0.884538	0.074810	-0.363513	0.282587	NaN	NaN	NaN	NaN	NaN	NaN
